,key,LocID,airport name,facility type,FAA region,county,city,state,airport type,latitude,longiutde,Boundary Data Available
0,3443.0,STX,HENRY E ROHLSEN,Airport,ASO,-VIRGIN ISLANDS-,CHRISTIANSTED,VI,Public Use,17.701556,-64.801722,Yes
1,5088.0,X64,PATILLAS,Airport,ASO,#NAME?,PATILLAS,PR,Public Use,17.982189,-66.01933,No
2,2886.0,PSE,MERCEDITA,Airport,ASO,#NAME?,PONCE,PR,Public Use,18.008306,-66.563028,Yes
3,2879.0,VQS,ANTONIO RIVERA RODRIGUEZ,Airport,ASO,#NAME?,ISLA DE VIEQUES,PR,Public Use,18.134811,-65.493617,Yes
4,2883.0,X63,HUMACAO,Airport,ASO,#NAME?,HUMACAO,PR,Public Use,18.138017,-65.800718,Yes
5,2884.0,RVR,JOSE APONTE DE LA TORRE,Airport,ASO,#NAME?,CEIBA,PR,Public Use,18.245269,-65.643381,Yes
6,2881.0,MAZ,EUGENIO MARIA DE HOSTOS,Airport,ASO,#NAME?,MAYAGUEZ,PR,Public Use,18.255694,-67.148472,Yes
7,5087.0,X95,DIEGO JIMENEZ TORRES,Airport,ASO,#NAME?,FAJARDO,PR,Public Use,18.30801,-65.661828,No
8,5086.0,CPX,BENJAMIN RIVERA NORIEGA,Airport,ASO,#NAME?,ISLA DE CULEBRA,PR,Public Use,18.313289,-65.304324,No
9,3442.0,STT,CYRIL E KING,Airport,ASO,-VIRGIN ISLANDS-,CHARLOTTE AMALIE,VI,Public Use,18.337306,-64.973361,Yes
10,2885.0,SJU,LUIS MUNOZ MARIN INTL,Airport,ASO,#NAME?,SAN JUAN,PR,Federalized/Commercial,18.439295,-66.002004,Yes
11,2880.0,ABO,ANTONIO/NERY/JUARBE POL,Airport,ASO,#NAME?,ARECIBO,PR,Public Use,18.451111,-66.675556,Yes
12,2882.0,SIG,FERNANDO LUIS RIBAS DOMINICCI,Airport,ASO,#NAME?,SAN JUAN,PR,Public Use,18.456791,-66.098463,Yes
13,2887.0,BQN,RAFAEL HERNANDEZ,Airport,ASO,#NAME?,AGUADILLA,PR,Public Use,18.494861,-67.129444,Yes
14,974.0,ITO,HILO INTL,Airport,AWP,HAWAII,HILO,HI,Public Use,19.720263,-155.04847,Yes
15,979.0,KOA,KONA INTL AT KEAHOLE,Airport,AWP,HAWAII,KAILUA/KONA,HI,Public Use,19.738766,-156.045631,Yes
16,985.0,MUE,WAIMEA-KOHALA,Airport,AWP,HAWAII,KAMUELA,HI,Public Use,20.001327,-155.668107,Yes
17,984.0,UPP,UPOLU,Airport,AWP,HAWAII,HAWI,HI,Public Use,20.265194,-155.859944,Yes
18,980.0,LNY,LANAI,Airport,AWP,MAUI,LANAI CITY,HI,Public Use,20.785611,-156.951418,Yes
19,973.0,HNM,HANA,Airport,AWP,MAUI,HANA,HI,Public Use,20.795637,-156.014438,Yes
20,976.0,OGG,KAHULUI,Airport,AWP,MAUI,KAHULUI,HI,Federalized/Commercial,20.89865,-156.430458,Yes
21,982.0,MKK,MOLOKAI,Airport,AWP,MAUI,KAUNAKAKAI,HI,Public Use,21.152886,-157.096256,Yes
22,978.0,LUP,KALAUPAPA,Airport,AWP,KALAWAO,KALAUPAPA,HI,Public Use,21.21104,-156.973597,Yes
23,977.0,JRF,KALAELOA (JOHN RODGERS FIELD),Airport,AWP,HONOLULU,KAPOLEI,HI,Public Use,21.307354,-158.070302,Yes
24,975.0,HNL,HONOLULU INTL,Airport,AWP,HONOLULU,HONOLULU,HI,Federalized/Commercial,21.318681,-157.922429,Yes
25,972.0,HDH,DILLINGHAM AIRFIELD,Airport,AWP,HONOLULU,MOKULEIA,HI,Public Use,21.579474,-158.197281,Yes
26,983.0,PAK,PORT ALLEN,Airport,AWP,KAUAI,HANAPEPE,HI,Public Use,21.896944,-159.603167,Yes
27,981.0,LIH,LIHUE,Airport,AWP,KAUAI,LIHUE,HI,Public Use,21.975983,-159.338958,Yes
28,811.0,EYW,KEY WEST INTL,Airport,ASO,MONROE,KEY WEST,FL,Federalized/Commercial,24.556111,-81.759556,Yes
29,866.0,MTH,THE FLORIDA KEYS MARATHON,Airport,ASO,MONROE,MARATHON,FL,Public Use,24.726194,-81.051361,Yes
30,806.0,X51,HOMESTEAD GENERAL AVIATION,Airport,ASO,DADE,HOMESTEAD,FL,Public Use,25.499231,-80.554245,Yes
31,810.0,TMB,KENDALL-TAMIAMI EXECUTIVE,Airport,ASO,DADE,MIAMI,FL,Public Use,25.647564,-80.433225,Yes
32,4196.0,X44,MIAMI,Airport,ASO,DADE,MIAMI,FL,Public Use,25.778333,-80.170278,No
33,825.0,MIA,MIAMI INTL,Airport,ASO,DADE,MIAMI,FL,Federalized/Commercial,25.795361,-80.290111,Yes
34,4190.0,X01,EVERGLADES AIRPARK,Airport,ASO,COLLIER,EVERGLADES,FL,Public Use,25.848861,-81.390278,No
35,791.0,TNT,DADE-COLLIER TRAINING AND TRANSITION,Airport,ASO,DADE,MIAMI,FL,Public Use,25.861806,-80.897,Yes
36,3110.0,BRO,BROWNSVILLE/SOUTH PADRE ISLAND INTL,Airport,ASW,CAMERON,BROWNSVILLE,TX,Public Use,25.906833,-97.425833,Yes
37,835.0,OPF,OPA- LOCKA EXECUTIVE,Airport,ASO,DADE,MIAMI,FL,Public Use,25.907417,-80.278222,Yes
38,819.0,MKY,MARCO ISLAND,Airport,ASO,COLLIER,MARCO ISLAND,FL,Public Use,25.995028,-81.672528,Yes
39,830.0,HWO,NORTH PERRY,Airport,ASO,BROWARD,HOLLYWOOD,FL,Public Use,26.001222,-80.240722,Yes
40,801.0,FLL,FORT LAUDERDALE/HOLLYWOOD INTL,Airport,ASO,BROWARD,FORT LAUDERDALE,FL,Federalized/Commercial,26.072596,-80.152741,Yes
